#bfield(Gauss)	a12	a13	a23(a0)
533	20.5	-355.6	-246.4
534	24.3	-347.9	-243.1
535	28.1	-340.0	-239.8
536	31.9	-332.1	-236.4
537	35.8	-324.0	-233.1
538	39.8	-315.8	-229.6
539	43.9	-307.5	-226.2
540	48.2	-299.1	-222.7
541	52.9	-290.5	-219.2
542	58.6	-281.8	-215.6
#543	73.3	-273.0	-212.0
#544	52.2	-264.0	-208.4
#545	62.6	-255.0	-204.7
#546	68.2	-245.7	-201.0
#547	73.0	-236.4	-197.3
548	77.6	-226.8	-193.5
549	82.0	-217.2	-189.6
550	86.4	-207.4	-185.8
551	90.9	-197.4	-181.9
552	95.3	-187.3	-177.9
553	99.7	-177.0	-173.9
554	104.2	-166.6	-169.9
555	108.7	-156.0	-165.8
556	113.3	-145.2	-161.7
557	117.9	-134.2	-157.6
558	122.5	-123.1	-153.4
559	127.1	-111.8	-149.1
560	131.8	-100.3	-144.8
561	136.5	-88.6	-140.5
562	141.3	-76.7	-136.1
563	146.1	-64.6	-131.7
564	151.0	-52.3	-127.2
565	155.9	-39.8	-122.7
566	160.8	-27.1	-118.2
567	165.8	-14.1	-113.6
568	170.9	-1.0	-108.9
569	176.0	12.4	-104.2
570	181.1	26.1	-99.4
571	186.3	39.9	-94.6
572	191.5	54.1	-89.8
573	196.8	68.5	-84.9
574	202.1	83.1	-79.9
575	207.5	98.0	-74.9
576	212.9	113.2	-69.8
577	218.4	128.7	-64.7
578	223.9	144.4	-59.5
579	229.5	160.5	-54.3
580	235.1	176.8	-49.0
581	240.8	193.5	-43.7
582	246.5	210.5	-38.3
583	252.3	227.9	-32.8
584	258.2	245.5	-27.3
585	264.1	263.6	-21.7
586	270.0	282.0	-16.1
587	276.1	300.7	-10.4
588	282.1	319.9	-4.6
589	288.3	339.4	1.2
590	294.5	359.4	7.1
591	300.7	379.7	13.0
592	307.0	400.5	19.0
593	313.4	421.8	25.1
594	319.9	443.5	31.3
595	326.4	465.6	37.5
596	332.9	488.3	43.8
597	339.6	511.4	50.1
598	346.3	535.1	56.5
599	353.0	559.4	63.0
600	359.9	584.1	69.6
601	366.8	609.5	76.2
602	373.7	635.4	82.9
603	380.8	662.0	89.7
604	387.9	689.2	96.6
605	395.1	717.0	103.5
606	402.3	745.6	110.6
607	409.6	774.8	117.7
608	417.0	804.8	124.8
609	424.5	835.5	132.1
610	432.1	867.0	139.5
611	439.7	899.4	146.9
612	447.4	932.5	154.4
613	455.2	966.6	162.0
614	463.1	1001.6	169.7
615	471.0	1037.5	177.5
616	479.0	1074.5	185.4
617	487.2	1112.4	193.3
618	495.4	1151.5	201.4
619	503.6	1191.6	209.6
620	512.0	1233.0	217.8
621	520.5	1275.5	226.2
622	529.0	1319.4	234.6
623	537.7	1364.5	243.2
624	546.4	1411.1	251.8
625	555.3	1459.1	260.6
626	564.2	1508.7	269.4
627	573.2	1559.8	278.4
628	582.3	1612.6	287.5
629	591.5	1667.2	296.7
630	600.9	1723.7	306.0
631	610.3	1782.0	315.4
632	619.8	1842.5	325.0
633	629.4	1905.0	334.6
634	639.2	1969.9	344.4
635	649.0	2037.1	354.3
636	659.0	2106.9	364.3
637	669.0	2179.3	374.5
638	679.2	2254.6	384.8
639	689.5	2332.9	395.2
640	699.9	2414.3	405.8
641	710.5	2499.1	416.4
642	721.1	2587.5	427.3
643	731.9	2679.7	438.2
644	742.8	2775.9	449.3
645	753.8	2876.5	460.6
646	765.0	2981.7	472.0
647	776.3	3091.9	483.6
648	787.7	3207.4	495.3
649	799.2	3328.6	507.1
650	810.9	3455.9	519.2
651	822.7	3589.8	531.4
652	834.7	3730.9	543.7
653	846.8	3879.7	556.3
654	859.1	4036.9	569.0
655	871.5	4203.2	581.8
656	884.0	4379.4	594.9
657	896.7	4566.4	608.1
658	909.6	4765.2	621.5
659	922.6	4977.0	635.2
660	935.8	5203.1	649.0
661	949.1	5445.1	663.0
662	962.7	5704.5	677.2
663	976.3	5983.5	691.6
664	990.2	6284.2	706.2
665	1004.2	6609.3	721.0
666	1018.5	6962.0	736.1
667	1032.8	7345.7	751.4
668	1047.4	7765.0	766.9
669	1062.2	8224.8	782.6
670	1077.2	8731.4	798.6
671	1092.3	9292.3	814.8
672	1107.7	9916.6	831.3
673	1123.2	10616.0	848.0
674	1139.0	11404.6	865.0
675	1155.0	12300.7	882.2
676	1171.2	13327.9	899.7
677	1187.6	14517.0	917.5
678	1204.2	15910.0	935.6
679	1221.1	17563.9	953.9
680	1238.2	19559.8	972.6
681	1255.6	22015.2	991.6
682	1273.1	25110.3	1010.8
683	1291.0	29133.1	1030.4
684	1309.0	34571.2	1050.3
685	1327.4	42332.6	1070.6
686	1346.0	54312.9	1091.1
687	1364.8	75232.7	1112.1
688	1384.0	121050.5	1133.4
689	1403.4	301529.4	1155.0
690	1423.1	-647677.4	1177.0
691	1443.1	-158180.7	1199.5
692	1463.4	-90745.7	1222.3
693	1483.9	-63940.9	1245.5
694	1504.8	-49546.9	1269.1
695	1526.1	-40565.5	1293.1
696	1547.6	-34427.1	1317.6
697	1569.5	-29965.7	1342.6
698	1591.7	-26576.9	1368.0
699	1614.2	-23915.0	1393.8
700	1637.1	-21769.9	1420.2
701	1660.4	-20003.5	1447.0
702	1684.0	-18523.7	1474.4
703	1708.0	-17266.6	1502.3
704	1732.4	-16185.0	1530.7
705	1757.2	-15244.6	1559.7
706	1782.4	-14419.5	1589.3
707	1808.0	-13689.8	1619.4
708	1834.1	-13039.8	1650.2
709	1860.5	-12457.1	1681.6
710	1887.4	-11931.8	1713.6
711	1914.8	-11455.8	1746.3
712	1942.7	-11022.5	1779.7
713	1971.0	-10626.4	1813.8
714	1999.8	-10262.9	1848.6
715	2029.1	-9928.2	1884.2
716	2059.0	-9619.0	1920.5
717	2089.3	-9332.4	1957.6
718	2120.2	-9066.0	1995.6
719	2151.7	-8817.9	2034.4
720	2183.7	-8586.2	2074.1
721	2216.4	-8369.3	2114.7
722	2249.6	-8165.8	2156.3
723	2283.5	-7974.6	2198.8
724	2318.0	-7794.6	2242.3
725	2353.1	-7624.7	2286.9
726	2389.0	-7464.3	2332.5
727	2425.5	-7312.5	2379.3
728	2462.7	-7168.6	2427.3
729	2500.7	-7032.0	2476.4
730	2539.5	-6902.3	2526.8
731	2579.0	-6778.8	2578.5
732	2619.3	-6661.2	2631.5
733	2660.4	-6549.0	2685.9
734	2702.4	-6442.0	2741.8
735	2745.3	-6339.6	2799.2
736	2789.1	-6241.8	2858.2
737	2833.8	-6148.0	2918.8
738	2879.5	-6058.2	2981.2
739	2926.2	-5972.0	3045.3
740	2973.9	-5889.2	3111.2
741	3022.7	-5809.7	3179.1
742	3072.5	-5733.3	3249.1
743	3123.5	-5659.7	3321.1
744	3175.7	-5588.9	3395.4
745	3229.1	-5520.6	3471.9
746	3283.7	-5454.8	3550.9
747	3339.7	-5391.3	3632.5
748	3396.9	-5329.9	3716.7
749	3455.6	-5270.7	3803.6
750	3515.7	-5213.4	3893.6
751	3577.4	-5158.0	3986.6
752	3640.5	-5104.4	4082.8
753	3705.3	-5052.5	4182.5
754	3771.8	-5002.3	4285.7
755	3840.0	-4953.5	4392.8
756	3910.0	-4906.3	4503.8
757	3981.8	-4860.5	4619.1
758	4055.7	-4816.0	4738.9
759	4131.6	-4772.8	4863.4
760	4209.6	-4730.9	4992.9
761	4289.8	-4690.1	5127.8
762	4372.3	-4650.5	5268.4
763	4457.2	-4612.0	5415.0
764	4544.6	-4574.5	5568.0
765	4634.7	-4538.1	5727.9
766	4727.4	-4502.5	5895.1
767	4823.1	-4468.0	6070.2
768	4921.8	-4434.3	6253.7
769	5023.5	-4401.4	6446.3
770	5128.7	-4369.4	6648.5
