#bfield(Gauss)	a12	a13	a23(a0)
1228	-2786.1	-2299.6	-2583.2
1229	-2783.8	-2299.1	-2581.6
1230	-2781.4	-2298.5	-2580.0
1231	-2779.1	-2298.0	-2578.4
1232	-2776.8	-2297.4	-2576.8
1233	-2774.5	-2296.9	-2575.2
1234	-2772.2	-2296.4	-2573.7
1235	-2769.9	-2295.8	-2572.1
1236	-2767.6	-2295.3	-2570.5
1237	-2765.3	-2294.8	-2569.0
1238	-2763.1	-2294.2	-2567.4
1239	-2760.9	-2293.7	-2565.9
1240	-2758.6	-2293.2	-2564.4
1241	-2756.4	-2292.7	-2562.9
1242	-2754.2	-2292.2	-2561.3
1243	-2752.0	-2291.7	-2559.8
1244	-2749.9	-2291.1	-2558.3
1245	-2747.7	-2290.6	-2556.9
1246	-2745.5	-2290.1	-2555.4
1247	-2743.4	-2289.6	-2553.9
1248	-2741.3	-2289.1	-2552.4
1249	-2739.1	-2288.6	-2551.0
1250	-2737.0	-2288.1	-2549.5
1251	-2734.9	-2287.6	-2548.1
1252	-2732.8	-2287.1	-2546.6
1253	-2730.8	-2286.6	-2545.2
1254	-2728.7	-2286.1	-2543.8
1255	-2726.6	-2285.6	-2542.4
1256	-2724.6	-2285.1	-2541.0
1257	-2722.6	-2284.7	-2539.6
1258	-2720.5	-2284.2	-2538.2
1259	-2718.5	-2283.7	-2536.8
1260	-2716.5	-2283.2	-2535.4
1261	-2714.5	-2282.7	-2534.0
1262	-2712.6	-2282.3	-2532.7
1263	-2710.6	-2281.8	-2531.3
1264	-2708.6	-2281.3	-2529.9
1265	-2706.7	-2280.8	-2528.6
1266	-2704.7	-2280.4	-2527.3
1267	-2702.8	-2279.9	-2525.9
1268	-2700.9	-2279.4	-2524.6
1269	-2699.0	-2279.0	-2523.3
1270	-2697.0	-2278.5	-2522.0
1271	-2695.2	-2278.1	-2520.7
1272	-2693.3	-2277.6	-2519.3
1273	-2691.4	-2277.2	-2518.1
1274	-2689.5	-2276.7	-2516.8
1275	-2687.7	-2276.2	-2515.5
1276	-2685.8	-2275.8	-2514.2
1277	-2684.0	-2275.4	-2512.9
1278	-2682.2	-2274.9	-2511.7
1279	-2680.3	-2274.5	-2510.4
1280	-2678.5	-2274.0	-2509.2
1281	-2676.7	-2273.6	-2507.9
1282	-2674.9	-2273.1	-2506.7
1283	-2673.1	-2272.7	-2505.4
1284	-2671.4	-2272.3	-2504.2
1285	-2669.6	-2271.8	-2503.0
1286	-2667.8	-2271.4	-2501.8
1287	-2666.1	-2271.0	-2500.6
1288	-2664.3	-2270.5	-2499.4
1289	-2662.6	-2270.1	-2498.2
1290	-2660.9	-2269.7	-2497.0
1291	-2659.2	-2269.3	-2495.8
1292	-2657.5	-2268.8	-2494.6
1293	-2655.8	-2268.4	-2493.4
1294	-2654.1	-2268.0	-2492.2
1295	-2652.4	-2267.6	-2491.1
1296	-2650.7	-2267.2	-2489.9
1297	-2649.0	-2266.8	-2488.8
1298	-2647.4	-2266.4	-2487.6
1299	-2645.7	-2265.9	-2486.5
1300	-2644.1	-2265.5	-2485.3
1301	-2642.4	-2265.1	-2484.2
1302	-2640.8	-2264.7	-2483.1
1303	-2639.2	-2264.3	-2481.9
1304	-2637.6	-2263.9	-2480.8
1305	-2636.0	-2263.5	-2479.7
1306	-2634.4	-2263.1	-2478.6
1307	-2632.8	-2262.7	-2477.5
1308	-2631.2	-2262.3	-2476.4
1309	-2629.6	-2261.9	-2475.3
1310	-2628.0	-2261.5	-2474.2
1311	-2626.5	-2261.1	-2473.1
1312	-2624.9	-2260.8	-2472.0
1313	-2623.4	-2260.4	-2471.0
1314	-2621.8	-2260.0	-2469.9
1315	-2620.3	-2259.6	-2468.8
1316	-2618.8	-2259.2	-2467.8
1317	-2617.3	-2258.8	-2466.7
1318	-2615.7	-2258.4	-2465.7
1319	-2614.2	-2258.1	-2464.6
1320	-2612.7	-2257.7	-2463.6
1321	-2611.2	-2257.3	-2462.5
1322	-2609.8	-2256.9	-2461.5
1323	-2608.3	-2256.6	-2460.5
1324	-2606.8	-2256.2	-2459.5
1325	-2605.3	-2255.8	-2458.4
1326	-2603.9	-2255.5	-2457.4
1327	-2602.4	-2255.1	-2456.4
1328	-2601.0	-2254.7	-2455.4
1329	-2599.5	-2254.4	-2454.4
1330	-2598.1	-2254.0	-2453.4
1331	-2596.7	-2253.6	-2452.4
1332	-2595.3	-2253.3	-2451.4
1333	-2593.9	-2252.9	-2450.4
1334	-2592.4	-2252.5	-2449.5
1335	-2591.0	-2252.2	-2448.5
1336	-2589.7	-2251.8	-2447.5
1337	-2588.3	-2251.5	-2446.6
1338	-2586.9	-2251.1	-2445.6
1339	-2585.5	-2250.8	-2444.6
1340	-2584.1	-2250.4	-2443.7
1341	-2582.8	-2250.1	-2442.7
1342	-2581.4	-2249.7	-2441.8
1343	-2580.1	-2249.4	-2440.8
1344	-2578.7	-2249.0	-2439.9
1345	-2577.4	-2248.7	-2439.0
1346	-2576.0	-2248.3	-2438.0
1347	-2574.7	-2248.0	-2437.1
1348	-2573.4	-2247.7	-2436.2
1349	-2572.1	-2247.3	-2435.3
1350	-2570.8	-2247.0	-2434.4
1351	-2569.5	-2246.7	-2433.5
1352	-2568.2	-2246.3	-2432.6
1353	-2566.9	-2246.0	-2431.6
1354	-2565.6	-2245.6	-2430.8
1355	-2564.3	-2245.3	-2429.9
1356	-2563.0	-2245.0	-2429.0
1357	-2561.7	-2244.7	-2428.1
1358	-2560.5	-2244.3	-2427.2
1359	-2559.2	-2244.0	-2426.3
1360	-2557.9	-2243.7	-2425.4
1361	-2556.7	-2243.3	-2424.6
1362	-2555.4	-2243.0	-2423.7
1363	-2554.2	-2242.7	-2422.8
1364	-2553.0	-2242.4	-2422.0
1365	-2551.7	-2242.1	-2421.1
1366	-2550.5	-2241.7	-2420.3
1367	-2549.3	-2241.4	-2419.4
1368	-2548.1	-2241.1	-2418.6
1369	-2546.9	-2240.8	-2417.7
1370	-2545.7	-2240.5	-2416.9
1371	-2544.5	-2240.2	-2416.0
1372	-2543.3	-2239.9	-2415.2
1373	-2542.1	-2239.5	-2414.4
1374	-2540.9	-2239.2	-2413.5
1375	-2539.7	-2238.9	-2412.7
1376	-2538.5	-2238.6	-2411.9
1377	-2537.4	-2238.3	-2411.1
1378	-2536.2	-2238.0	-2410.3
1379	-2535.1	-2237.7	-2409.5
1380	-2533.9	-2237.4	-2408.7
1381	-2532.7	-2237.1	-2407.9
1382	-2531.6	-2236.8	-2407.0
1383	-2530.5	-2236.5	-2406.3
1384	-2529.3	-2236.2	-2405.5
1385	-2528.2	-2235.9	-2404.7
1386	-2527.1	-2235.6	-2403.9
1387	-2525.9	-2235.3	-2403.1
1388	-2524.8	-2235.0	-2402.3
1389	-2523.7	-2234.7	-2401.5
1390	-2522.6	-2234.4	-2400.8
1391	-2521.5	-2234.1	-2400.0
1392	-2520.4	-2233.8	-2399.2
1393	-2519.3	-2233.5	-2398.5
1394	-2518.2	-2233.3	-2397.7
1395	-2517.1	-2233.0	-2396.9
1396	-2516.0	-2232.7	-2396.2
1397	-2515.0	-2232.4	-2395.4
1398	-2513.9	-2232.1	-2394.7
1399	-2512.8	-2231.8	-2393.9
1400	-2511.8	-2231.5	-2393.2
1401	-2510.7	-2231.3	-2392.4
1402	-2509.6	-2231.0	-2391.7
1403	-2508.6	-2230.7	-2391.0
1404	-2507.5	-2230.4	-2390.2
1405	-2506.5	-2230.1	-2389.5
1406	-2505.4	-2229.9	-2388.8
1407	-2504.4	-2229.6	-2388.0
1408	-2503.4	-2229.3	-2387.3
1409	-2502.4	-2229.0	-2386.6
1410	-2501.3	-2228.8	-2385.9
1411	-2500.3	-2228.5	-2385.2
1412	-2499.3	-2228.2	-2384.5
1413	-2498.3	-2228.0	-2383.8
1414	-2497.3	-2227.7	-2383.0
1415	-2496.3	-2227.4	-2382.3
1416	-2495.3	-2227.1	-2381.6
1417	-2494.3	-2226.9	-2380.9
1418	-2493.3	-2226.6	-2380.3
1419	-2492.3	-2226.4	-2379.6
1420	-2491.3	-2226.1	-2378.9
1421	-2490.3	-2225.8	-2378.2
1422	-2489.4	-2225.6	-2377.5
1423	-2488.4	-2225.3	-2376.8
1424	-2487.4	-2225.0	-2376.1
1425	-2486.4	-2224.8	-2375.5
1426	-2485.5	-2224.5	-2374.8
1427	-2484.5	-2224.3	-2374.1
1428	-2483.6	-2224.0	-2373.4
1429	-2482.6	-2223.7	-2372.8
1430	-2481.7	-2223.5	-2372.1
1431	-2480.7	-2223.2	-2371.5
1432	-2479.8	-2223.0	-2370.8
1433	-2478.8	-2222.7	-2370.1
1434	-2477.9	-2222.5	-2369.5
1435	-2477.0	-2222.2	-2368.8
1436	-2476.1	-2222.0	-2368.2
1437	-2475.1	-2221.7	-2367.5
1438	-2474.2	-2221.5	-2366.9
1439	-2473.3	-2221.2	-2366.3
1440	-2472.4	-2221.0	-2365.6
1441	-2471.5	-2220.7	-2365.0
1442	-2470.6	-2220.5	-2364.3
1443	-2469.7	-2220.2	-2363.7
1444	-2468.8	-2220.0	-2363.1
1445	-2467.9	-2219.8	-2362.5
1446	-2467.0	-2219.5	-2361.8
1447	-2466.1	-2219.3	-2361.2
1448	-2465.2	-2219.0	-2360.6
