#bfield(Gauss)	ainns(a0)
380.	-390.03790308370037
381.	-388.5504238410595
382.	-387.0538761061946
383.	-385.548199556541
384.	-384.03333333333336
385.	-382.5092160356347
386.	-380.97578571428573
387.	-379.43297986577176
388.	-377.88073542600904
389.	-376.31898876404483
390.	-374.7476756756757
391.	-373.16673137697524
392.	-371.5760904977375
393.	-369.9756870748299
394.	-368.3654545454546
395.	-366.74532574031895
396.	-365.11523287671235
397.	-363.4751075514874
398.	-361.82488073394484
399.	-360.16448275862064
400.	-358.49384331797233
401.	-356.8128914549653
402.	-355.1215555555556
403.	-353.4197633410674
404.	-351.7074418604651
405.	-349.98451748251756
406.	-348.25091588785045
407.	-346.5065620608899
408.	-344.75138028169005
409.	-342.9852941176471
410.	-341.20822641509443
411.	-339.4200992907801
412.	-337.6208341232227
413.	-335.81035154394294
414.	-333.9885714285714
415.	-332.1554128878282
416.	-330.3107942583732
417.	-328.4546330935252
418.	-326.5868461538462
419.	-324.70734939759024
420.	-322.8160579710145
421.	-320.9128861985472
422.	-318.9977475728156
423.	-317.07055474452557
424.	-315.1312195121952
425.	-313.1796528117359
426.	-311.2157647058824
427.	-309.2394643734644
428.	-307.2506600985222
429.	-305.2492592592593
430.	-303.23516831683173
431.	-301.20829280397015
432.	-299.1685373134329
433.	-297.1158054862842
434.	-295.05
435.	-292.97102255639106
436.	-290.8787738693467
437.	-288.7731536523929
438.	-286.65406060606045
439.	-284.52139240506324
440.	-282.3750456852793
441.	-280.2149160305343
442.	-278.0408979591837
443.	-275.8528849104858
444.	-273.6507692307692
445.	-271.43444215938314
446.	-269.2037938144329
447.	-266.9587131782945
448.	-264.6990880829016
449.	-262.4248051948052
450.	-260.13575000000003
451.	-257.8318067885117
452.	-255.51285863874335
453.	-253.17878740157488
454.	-250.8294736842105
455.	-248.4647968337732
456.	-246.08463492063498
457.	-243.68886472148543
458.	-241.27736170212768
459.	-238.85000000000008
460.	-236.40665240641712
461.	-233.9471903485255
462.	-231.47148387096763
463.	-228.9794016172507
464.	-226.47081081081072
465.	-223.9455772357724
466.	-221.40356521739136
467.	-218.84463760217986
468.	-216.2686557377049
469.	-213.67547945205484
470.	-211.06496703296696
471.	-208.43697520661152
472.	-205.79135911602208
473.	-203.12797229916904
474.	-200.44666666666663
475.	-197.74729247910858
476.	-195.02969832402235
477.	-192.29373109243696
478.	-189.53923595505626
479.	-186.76605633802805
480.	-183.97403389830515
481.	-181.16300849858354
482.	-178.33281818181814
483.	-175.48329914529907
484.	-172.61428571428576
485.	-169.72561031518632
486.	-166.81710344827593
487.	-163.88859365994242
488.	-160.93990751445085
489.	-157.9708695652174
490.	-154.98130232558142
491.	-151.97102623906707
492.	-148.93985964912287
493.	-145.88761876832845
494.	-142.81411764705885
495.	-139.7191681415929
496.	-136.60257988165685
497.	-133.46416023738874
498.	-130.30371428571434
499.	-127.12104477611936
500.	-123.91595209580828
501.	-120.68823423423422
502.	-117.43768674698792
503.	-114.16410271903321
504.	-110.86727272727276
505.	-107.5469848024316
506.	-104.20302439024387
507.	-100.83517431192654
508.	-97.44321472392635
509.	-94.02692307692301
510.	-90.5860740740742
511.	-87.1204396284829
512.	-83.6297888198758
513.	-80.1138878504673
514.	-76.5725
515.	-73.0053855799374
516.	-69.41230188679243
517.	-65.79300315457412
518.	-62.147240506329176
519.	-58.474761904761976
520.	-54.775312101910814
521.	-51.04863258785941
522.	-47.29446153846165
523.	-43.51253376205785
524.	-39.702580645161255
525.	-35.86433009708736
526.	-31.99750649350637
527.	-28.101830618892524
528.	-24.17701960784305
529.	-20.222786885245924
530.	-16.238842105263206
531.	-12.22489108910892
532.	-8.180635761589446
533.	-4.105774086378764
534.	0.
535.	4.1369966555183915
536.	8.305530201342133
537.	12.505919191919272
538.	16.73848648648659
539.	21.003559322033844
540.	25.30146938775513
541.	29.632552901023786
542.	33.99715068493137
543.	38.39560824742254
544.	42.82827586206905
545.	47.2955086505192
546.	51.79766666666649
547.	56.33511498257849
548.	60.908223776223785
549.	65.51736842105255
550.	70.1629295774647
551.	74.84529328621906
552.	79.56485106382976
553.	84.32199999999986
554.	89.11714285714282
555.	93.95068817204293
556.	98.82305035971217
557.	103.73464981949466
558.	108.68591304347818
559.	113.67727272727264
560.	118.70916788321166
561.	123.78204395604408
562.	128.89635294117656
563.	134.0525535055349
564.	139.25111111111116
565.	144.49249814126398
566.	149.77719402985062
567.	155.1056853932585
568.	160.47846616541332
569.	165.89603773584903
570.	171.3589090909092
571.	176.8675969581749
572.	182.42262595419834
573.	188.0245287356321
574.	193.6738461538463
575.	199.37112741312757
576.	205.11693023255822
577.	210.91182101167325
578.	216.756375
579.	222.6511764705883
580.	228.59681889763766
581.	234.5939051383397
582.	240.6430476190476
583.	246.7448685258965
584.	252.89999999999995
585.	259.10908433734926
586.	265.3727741935484
587.	271.69173279352214
588.	278.0666341463417
589.	284.4981632653062
590.	290.9870163934426
591.	297.53390123456813
592.	304.13953719008276
593.	310.80465560165976
594.	317.53000000000003
595.	324.3163263598326
596.	331.1644033613445
597.	338.07501265822765
598.	345.04894915254226
599.	352.08702127659586
600.	359.1900512820514
601.	366.35887553648075
602.	373.59434482758627
603.	380.8973246753246
604.	388.26869565217396
605.	395.70935371179036
606.	403.22021052631567
607.	410.8021938325992
608.	418.45624778761066
609.	426.1833333333333
610.	433.98442857142845
611.	441.86052914798194
612.	449.8126486486486
613.	457.84181900452495
614.	465.9490909090908
615.	474.1355342465752
616.	482.4022385321104
617.	490.75031336405533
618.	499.1808888888888
619.	507.6951162790698
620.	516.294168224299
621.	524.9792394366199
622.	533.7515471698111
623.	542.6123317535545
624.	551.5628571428572
625.	560.6044114832534
626.	569.7383076923076
627.	578.965884057971
628.	588.2885048543686
629.	597.7075609756097
630.	607.2244705882351
631.	616.8406798029556
632.	626.5576633663366
633.	636.3769253731341
634.	646.3000000000001
635.	656.3284522613066
636.	666.463878787879
637.	676.7079086294415
638.	687.0622040816326
639.	697.5284615384617
640.	708.1084123711341
641.	718.8038238341968
642.	729.6165
643.	740.5482827225132
644.	751.601052631579
645.	762.7767301587301
646.	774.0772765957446
647.	785.5046951871658
648.	797.0610322580648
649.	808.7483783783784
650.	820.5688695652173
651.	832.5246885245903
652.	844.6180659340661
653.	856.8512817679557
654.	869.2266666666667
655.	881.7466033519554
656.	894.4135280898874
657.	907.2299322033897
658.	920.1983636363638
659.	933.3214285714284
660.	946.6017931034481
661.	960.0421849710983
662.	973.6453953488374
663.	987.4142807017543
664.	1001.3517647058821
665.	1015.4608402366863
666.	1029.7445714285714
667.	1044.2060958083835
668.	1058.8486265060242
669.	1073.6754545454544
670.	1088.6899512195123
671.	1103.895570552147
672.	1119.2958518518515
673.	1134.8944223602484
674.	1150.695
675.	1166.7013962264152
676.	1182.9175189873415
677.	1199.3473757961783
678.	1215.9950769230766
679.	1232.8648387096775
680.	1249.9609870129873
681.	1267.2879607843138
682.	1284.8503157894736
683.	1302.652728476821
684.	1320.6999999999998
685.	1338.9970604026844
686.	1357.5489729729732
687.	1376.3609387755105
688.	1395.4383013698628
689.	1414.786551724138
690.	1434.411333333333
691.	1454.3184475524474
692.	1474.5138591549296
693.	1495.0037021276596
694.	1515.7942857142855
695.	1536.8921007194244
696.	1558.3038260869562
697.	1580.0363357664235
698.	1602.096705882353
699.	1624.4922222222224
700.	1647.2303880597012
701.	1670.3189323308266
702.	1693.7658181818185
703.	1717.5792519083966
704.	1741.7676923076924
705.	1766.3398604651165
706.	1791.30475
707.	1816.6716377952755
708.	1842.4500952380952
709.	1868.6499999999996
710.	1895.2815483870968
711.	1922.3552682926834
712.	1949.8820327868855
713.	1977.8730743801657
714.	2006.34
715.	2035.2948067226891
716.	2064.7498983050846
717.	2094.718102564103
718.	2125.2126896551727
719.	2156.2473913043477
720.	2187.8364210526315
721.	2219.994495575221
722.	2252.736857142857
723.	2286.079297297297
724.	2320.0381818181813
725.	2354.6304770642205
726.	2389.873777777778
727.	2425.786336448598
728.	2462.3870943396228
729.	2499.695714285714
730.	2537.732615384615
731.	2576.5190097087375
732.	2616.0769411764704
733.	2656.429326732673
734.	2697.6
735.	2739.613757575758
736.	2782.496408163265
737.	2826.2748247422683
738.	2870.977
739.	2916.632105263158
740.	2963.2705531914894
741.	3010.9240645161294
742.	3059.625739130435
743.	3109.4101318681323
744.	3160.3133333333335
745.	3212.373056179775
746.	3265.6287272727272
747.	3320.121586206896
748.	3375.8947906976746
749.	3432.9935294117645
750.	3491.465142857143
751.	3551.359253012048
752.	3612.7279024390245
753.	3675.625703703703
754.	3740.1099999999997
755.	3806.2410379746834
756.	3874.0821538461532
757.	3943.6999740259744
758.	4015.1646315789476
759.	4088.5499999999997
760.	4163.933945945947
761.	4241.398602739726
762.	4321.030666666666
763.	4402.921718309858
764.	4487.168571428571
765.	4573.873652173913
766.	4663.145411764706
767.	4755.098776119403
768.	4849.855636363637
769.	4947.545384615386
770.	5048.3055
771.	5152.28219047619
772.	5259.631096774194
773.	5370.51806557377
774.	5485.12
775.	5603.625796610169
776.	5726.237379310345
777.	5853.170842105263
778.	5984.657714285714
779.	6120.946363636363
780.	6262.303555555556
781.	6409.016188679245
782.	6561.39323076923
783.	6719.76788235294
784.	6884.5
785.	7055.97881632653
786.	7234.626
787.	7420.899106382978
788.	7615.2954782608695
789.	7818.356666666667
790.	8030.673454545456
791.	8252.89158139535
792.	8485.718285714283
793.	8729.92980487805
794.	8986.38
795.	9256.010307692308
796.	9539.861263157894
797.	9839.085891891893
798.	10154.965333333332
799.	10488.927142857143
800.	10842.566823529412
801.	11217.673272727274
802.	11616.259
803.	12040.596193548388
804.	12493.26
805.	12977.180758620689
806.	13495.707428571428
807.	14052.68511111111
808.	14652.550461538462
809.	15300.45
810.	16002.387999999999
811.	16765.41295652174
812.	17597.854909090907
813.	18509.63057142857
814.	19512.64
815.	20621.288526315788
816.	21853.182666666664
817.	23230.071647058823
818.	24779.142
819.	26534.829999999998
820.	28541.410857142855
821.	30856.782923076924
822.	33558.144
823.	36750.76381818182
824.	40582.02
825.	45264.79133333333
826.	51118.396
827.	58644.619714285705
828.	68679.772
829.	82729.21
830.	103803.648
