#fcpow	depth(uK)	freqAx(Hz)	freqRd(Hz)	freqRdZ(Hz)
0.	0.	0.	0.	0.
0.02	0.9771173337441129	39.078419577006414	296.66606712491756	299.22593720260863
0.04	1.9542346674882258	55.265230961908735	419.5491756239454	423.16937860572915
0.06	2.931352001232339	67.68580818686938	513.8407011419963	518.2745261773324
0.08	3.9084693349764517	78.15683915401283	593.3321342498351	598.4518744052173
0.1	4.885586668720565	87.38200262744492	663.3654927088314	669.0895362161161
0.12	5.862704002464678	95.72218791805456	726.6804884543114	732.9508639524732
0.14	6.83982133620879	103.39177983019688	784.9046360441265	791.6774156583326
0.16	7.816938669952903	110.53046192381747	839.0983512478908	846.3387572114583
0.18	8.794056003697014	117.23525873101923	889.9982013747526	897.6778116078257
0.2	9.77117333744113	123.57681322305405	938.1404765991398	946.2354965587555
0.22	10.748290671185242	129.60845513700923	983.9300326837406	992.4201612434999
0.24	11.725408004929356	135.37161637373876	1027.6814022839926	1036.5490523546648
0.26	12.702525338673468	140.8992455489924	1069.6447167091321	1078.874459532773
0.28	13.67964267241758	146.21805727375744	1110.0227814631219	1119.600938248496
0.3	14.656760006161692	151.3500682178517	1148.9827373596572	1158.8970715390094
0.32	15.633877339905807	156.31367830802566	1186.6642684996702	1196.9037488104345
0.34	16.61099467364992	161.12445159820246	1223.1855302926142	1233.7401450107925
0.36	17.588112007394027	165.7956928857262	1258.6475268718361	1269.5081358171874
0.38	18.565229341138146	170.33888180945243	1293.13740657517	1304.2956215524187
0.4	19.54234667488226	174.76400525488984	1326.7309854176629	1338.1790724322323
0.42	20.519464008626375	179.0798157508761	1359.4947087247851	1371.225507125057
0.44	21.496581342370483	183.2940350529833	1391.4871966475487	1403.4940516030515
0.46	22.473698676114598	187.41351648864827	1422.760476614887	1435.0371822290626
0.48	23.450816009858713	191.44437583610912	1453.360976908623	1465.9017279049465
0.5	24.427933343602824	195.39209788503206	1483.3303356245879	1496.129686013043
0.52	25.405050677346935	199.261623983522	1512.7060652907817	1525.7588927691904
0.54	26.38216801109105	203.05742456060813	1541.522103425989	1554.8235785319973
0.56	27.35928534483516	206.78355966039376	1569.809272088253	1583.3548313166652
0.58	28.336402678579272	210.44372982453092	1597.5956641521084	1611.380986405327
0.6	29.313520012323384	214.04131913977903	1624.9069701065912	1638.92795596493
0.62	30.2906373460675	217.57943187657537	1651.7667561990552	1666.0195095910983
0.64	31.267754679811613	221.06092384763494	1678.1967024957817	1692.6775144229166
0.66	32.24487201355573	224.48842938781146	1704.216807701145	1718.9221417294393
0.68	33.22198934729984	227.86438468010522	1729.845566238341	1744.7720455184115
0.7000000000000001	34.19910668104395	231.1910480150119	1755.1001220493984	1770.244517663388
0.72	35.176224014788055	234.47051746203846	1779.9964027495053	1795.3556232156513
0.74	36.15334134853217	237.704746346287	1804.549237118385	1820.1203189093958
0.76	37.13045868227629	240.89555685439532	1828.7724583905763	1844.552557343276
0.78	38.10757601602041	244.04465203897786	1852.6789953878354	1868.665378899176
0.8	39.08469334976452	247.1536264461081	1876.2809531982796	1892.470993117511
0.8200000000000001	40.06181068350864	250.22397555410012	1899.5896848314403	1915.9808509705829
0.84	41.03892801725275	253.25710418216397	1922.6158550530515	1939.2057092481805
0.86	42.01604535099686	256.25433400309936	1945.369497418098	1962.1556880827573
0.88	42.993162684740966	259.21691027401846	1967.8600653674812	1984.8403224869999
0.9	43.970280018485084	262.14600788233474	1990.096478126494	2007.2686086483484
0.92	44.947397352229196	265.04273679028006	2012.0871620371818	2029.449045618011
0.9400000000000001	45.924514685973314	267.90814694950626	2033.8400878678265	2051.389672942378
0.96	46.901632019717425	270.7432327474775	2055.362804567985	2073.0981047093296
0.98	47.87874935346154	273.54893703904486	2076.6624698744226	2094.5815604182603
1.	48.85586668720565	276.3261548095437	2097.745878119727	2115.846893028646
1.02	49.832984020949766	279.07573650975905	2118.619485549888	2136.9006144960867
1.04	50.81010135469387	281.7984910979848	2139.2894334182643	2157.748919065546
1.06	51.78721868843799	284.4951888200178	2159.7615690900707	2178.3977045579427
1.08	52.7643360221821	287.16656375416363	2180.041465362934	2198.8525918574196
1.1	53.74145335592622	289.8133161450845	2200.1344381844347	2219.118942781768
1.12	54.71857068967032	292.4361145475149	2220.0455629262437	2239.201876496992
1.1400000000000001	55.69568802341445	295.03559779844164	2239.7796893560467	2259.1062846184177
1.16	56.672805357158545	297.61237683423104	2259.341455432364	2278.836845124549
1.18	57.64992269090266	300.1670363673482	2278.7353000334633	2298.3980351958166
1.2	58.62704002464677	302.7001364357034	2297.9654747193144	2317.794143078019
1.22	59.604157358390886	305.21221383625857	2317.036054614889	2337.029279059539
1.24	60.581274692135	307.7037834532858	2335.9509484937175	2356.1073856419043
1.26	61.558392025879115	310.17533949059066	2354.7139081323794	2375.032246974998
1.28	62.53550935962323	312.6273566160513	2373.3285369993405	2393.807497620869
1.3	63.512626693367345	315.0602910259817	2391.7982983351244	2412.4366307036266
1.32	64.48974402711146	317.47458143607787	2410.12652267514	2430.923005497181
1.34	65.46686136085557	319.87065000504407	2428.3164148614424	2449.2698544975046
1.36	66.44397869459968	322.2489031964049	2446.3710605852284	2467.480290021585
1.3800000000000001	67.4210960283438	324.6097325834864	2464.293432497896	2485.557310371214
1.4000000000000001	68.3982133620879	326.9535156020792	2482.0863959249336	2503.5038055961813
1.42	69.375330695832	329.2806162548831	2499.7527142137465	2521.3225628882437
1.44	70.35244802957611	331.5913857714524	2517.2950537436723	2539.016271634375
1.46	71.32956536332024	333.8861632270327	2534.715988623918	2556.587528155236
1.48	72.30668269706435	336.16527612337546	2552.0180051028424	2574.0388401525106
1.5	73.28380003080848	338.4290409343469	2569.2035057099815	2591.372630886662
1.52	74.26091736455258	340.67776361890486	2586.27481315034	2608.5912431048373
1.54	75.23803469829672	342.91174010379837	2603.2341739688327	2625.696942736922
1.56	76.21515203204082	345.1312567381453	2620.0837620012376	2642.691922376273
1.58	77.19226936578494	347.33659072186464	2636.8256816266644	2659.578304560251
1.6	78.16938669952904	349.5280105097797	2653.4619708353257	2676.3581448644645
1.62	79.14650403327315	351.7057761930577	2669.994604124258	2693.033434823478
1.6400000000000001	80.12362136701728	353.87013985952217	2686.425495232656	2709.606104689742
1.6600000000000001	81.10073870076138	356.0213459342492	2702.756499727526	2726.0780260415686
1.68	82.0778560345055	358.1596315017522	2718.9894174495703	2742.451014250114
1.7	83.0549733682496	360.28522661095536	2735.1259948284137	2758.72683081458
1.72	84.03209070199372	362.3983545640681	2751.1679270756063	2774.907185574148
1.74	85.00920803573783	364.4992321903855	2767.116860263196	2790.9937388044805
1.76	85.98632536948193	366.5880701059666	2782.9743932950973	2806.988103206103
1.78	86.96344270322606	368.66507296007	2798.7420797779105	2822.891845791364
1.8	87.94056003697017	370.7304396691621	2814.421429797419	2838.7064896762668
1.82	88.91767737071429	372.78436363925834	2830.0139116064993	2854.4335157829364
1.84	89.89479470445839	374.82703297729654	2845.520953229774	2870.0743644581253
1.86	90.87191203820251	376.8586306921999	2860.9439439899984	2885.630437012767
1.8800000000000001	91.84902937194663	378.8793348862359	2876.284235960767	2901.1030971872187
1.9000000000000001	92.82614670569073	380.88931893723804	2891.5431453498636	2916.4936725465477
1.92	93.80326403943485	382.88875167221823	2906.721953817246	2931.803455809893
1.94	94.78038137317894	384.8777975328612	2921.8219097314113	2947.0337061176633
1.96	95.75749870692307	386.85661673336114	2936.8442293676176	2962.185650240104
1.98	96.73461604066716	388.8253654110277	2951.790098051222	2977.260483730499
2.	97.7117333744113	390.7841957700641	2966.6606712491757	2992.259372026086
2.02	98.6888507081554	392.7332562188901	2981.457075612523	3007.183451499547
2.04	99.66596804189953	394.6726915013616	2996.180409972561	3022.0338304637667
2.06	100.64308537564362	396.602642822215	3010.831746293158	3036.8115901323686
2.08	101.62020270938774	398.523247967044	3025.4121305815634	3051.517785538381
2.1	102.59732004313186	400.4346414170965	3039.9225837598956	3066.153446413249
2.12	103.57443737687598	402.3369544591637	3054.364102499374	3080.719578028261
2.14	104.5515547106201	404.230315290815	3068.737660019209	3095.2171620003346
2.16	105.5286720443642	406.11484912121625	3083.044206851978	3109.6471570639947
2.18	106.50578937810832	407.9906782677575	3097.284671577171	3124.0104998112542
2.2	107.48290671185244	409.8579222487	3111.4599615245374	3138.308105401021
2.22	108.46002404559654	411.71669787204155	3125.5709634487007	3152.540868239542
2.24	109.43714137934064	413.5671193207875	3139.618544176506	3166.7096626333305
2.2600000000000002	110.41425871308476	415.40929823480246	3153.603551228399	3180.8153434159112
2.2800000000000002	111.3913760468289	417.24334378940983	3167.526813415119	3194.8587465496594
2.3000000000000003	112.36849338057301	419.0693627708953	3181.389141410887	3208.840689703937
2.32	113.34561071431709	420.88745964906184	3195.1913283042168	3222.761972810654
2.34	114.3227280480612	422.69773664697715	3208.934150127396	3236.623378598319
2.36	115.29984538180533	424.5002938080418	3222.6183663656484	3250.4256731055975
2.38	116.27696271554943	426.2952290605073	3236.2447204469204	3264.1696061753228
2.4	117.25408004929353	428.08263827955807	3249.8139402131824	3277.85591192986
2.42	118.23119738303765	429.8626153470705	3263.326738374093	3291.485309228695
2.44	119.20831471678177	431.63525220915415	3276.7838129438237	3305.0585021090164
2.46	120.18543205052588	433.400638931574	3290.1858476618054	3318.576180210102
2.48	121.16254938427	435.15886375315074	3303.5335123981104	3332.0390191821966
2.5	122.13966671801411	436.91001313722455	3316.827463544156	3345.4476810805804
2.52	123.11678405175823	438.65417182127237	3330.0683443893654	3358.802814745488
2.54	124.09390138550233	440.39142286475436	3343.2567854844015	3372.105056168475
2.56	125.07101871924645	442.1218476952699	3356.3934049915633	3385.355028845833
2.58	126.04813605299056	443.84552615309303	3369.478809022877	3398.5533441196053
2.6	127.02525338673469	445.56253653415763	3382.513591966423	3411.7006015067227
2.62	128.00237072047878	447.2729556315573	3395.4983368013827	3424.7973890167736
2.64	128.9794880542229	448.97685877562293	3408.43361540229	3437.8442834588786
2.66	129.95660538796704	450.6743198726351	3421.31998883292	3450.841850738117
2.68	130.93372272171115	452.36541144223094	3434.1580076302635	3463.790646141948
2.7	131.91084005545525	454.0502046535552	3446.9482120789726	3476.691214617029
2.72	132.88795738919936	455.72876936021044	3459.691132476682	3489.544091036823
2.74	133.86507472294346	457.401174134051	3472.3872893905645	3502.3498004603694
2.7600000000000002	134.8421920566876	459.06748629787	3485.0371939054717	3515.108858382563
2.7800000000000002	135.8193093904317	460.7277719570219	3497.6413478639984	3527.8217709762985
2.8000000000000003	136.7964267241758	462.3820960300238	3510.2002440987967	3540.489035326776
2.82	137.7735440579199	464.03052227817375	3522.7143666574248	3553.1111396583
2.84	138.750661391664	465.67311333422634	3535.1841910200355	3565.688563553845
2.86	139.72777872540814	467.30993073016094	3547.6101843101856	3578.221778167679
2.88	140.70489605915222	468.9410349240769	3559.9928054990105	3590.7112464313027
2.9	141.68201339289635	470.5664853262511	3572.3325056030385	3603.1574232529756
2.92	142.65913072664048	472.1863403243866	3584.6297278758725	3615.560755711042
2.94	143.6362480603846	473.80065730808565	3596.8849079939732	3627.921683241327
2.96	144.6133653941287	475.409492692574	3609.09847423677	3640.2406378187916
2.98	145.59048272787282	477.0129019417055	3621.2708476612947	3652.5180441336825
3.	146.56760006161696	478.6109395902727	3633.4024422715574	3664.7543197623663
3.02	147.54471739536106	480.20365926564983	3645.493665182849	3676.9498753330463
3.04	148.52183472910517	481.79111370879065	3657.5449167811526	3689.105114686552
3.06	149.4989520628493	483.3733547946074	3669.5565908778426	3701.2204350323777
3.08	150.47606939659343	484.95043355174965	3681.5290748598445	3713.2962271001275
3.1	151.4531867303375	486.5224001818072	3693.46274983541	3725.332875286559
3.12	152.43030406408164	488.0893040779557	3705.3579907756707	3737.330757798352
3.14	153.40742139782574	489.65119384306587	3717.2151666521104	3749.290246790768
